subject,day,level,time,cst_sd,cst_mean,cst_cv,f_sd,f_mean,f_cv,hpf_cst_sd,hpf_f_sd,bad_wins,window
SFU01,stretch,submax10,post,1.425411138,51.76005821,3.055631726,0.000494041,0.054958008,0.898942014,1.425411138,0.000238487,0,24
SFU01,stretch,submax10,post,0.931703814,52.05694508,1.650773615,0.000707484,0.057189335,1.237091485,0.931703814,0.000318557,0,25
SFU01,stretch,submax10,post,0.584195307,52.29260267,2.310877974,0.000737546,0.056505175,1.305271562,0.584195307,0.00027579,0,26
SFU01,stretch,submax10,post,1.236749585,53.10038223,4.639351675,0.001011054,0.056331592,1.794825336,1.236749585,0.000597348,0,27
SFU01,stretch,submax10,post,1.885327733,54.56126871,3.026766944,0.000334476,0.056934373,0.587477068,1.885327733,0.000386128,0,28
SFU01,stretch,submax10,post,1.451561459,53.4080087,2.913590783,0.00037764,0.055878993,0.675818135,1.451561459,0.000316444,0,29
SFU01,stretch,submax10,post,0.790896227,53.22705681,1.941752518,0.000637122,0.058000573,1.098475856,0.790896227,0.000249706,0,30
SFU01,stretch,submax35,before,1.848093342,59.65866709,3.229785913,0.002379526,0.217563944,1.093713258,1.848093342,0.002159974,0,1
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,2
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,3
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,4
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,5
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,6
SFU01,stretch,submax35,before,2.013760521,60.56220461,2.65927296,0.000963551,0.222288092,0.433469462,2.013760521,0.000800054,0,7
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,8
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,9
SFU01,stretch,submax35,before,7.826384758,60.18720387,5.599090231,0.002359875,0.220521333,1.070134746,7.826384758,0.001000851,0,10
SFU01,stretch,submax35,before,2.593370242,61.52044067,7.216518921,0.003743435,0.219516751,1.705307424,2.593370242,0.000948688,0,11
SFU01,stretch,submax35,before,2.759165304,59.88971292,4.196989251,0.001549676,0.222573953,0.696252223,2.759165304,0.000752021,0,12
SFU01,stretch,submax35,before,1.801201455,61.88052873,2.691894325,0.000763348,0.221766869,0.344212018,1.801201455,0.000749403,0,13
SFU01,stretch,submax35,before,3.036725461,59.67363224,5.353836377,0.003141859,0.222055646,1.414897139,3.036725461,0.001844005,0,14
SFU01,stretch,submax35,before,2.775759002,54.96615655,6.311503733,0.00211325,0.221001247,0.956216433,2.775759002,0.001350229,0,15
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,16
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,17
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,18
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,19
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,20
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,21
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,22
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,23
SFU01,stretch,submax35,before,2.935932718,58.62277417,3.973767287,0.001203933,0.221603021,0.543283697,2.935932718,0.001119446,0,24
SFU01,stretch,submax35,before,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1,25
SFU01,stretch,submax35,before,3.227251597,57.79052707,5.109357484,0.001607264,0.219851281,0.731068564,3.227251597,0.001195699,0,26
SFU01,stretch,submax35,before,2.495103854,61.94748046,8.138506029,0.003000342,0.221219769,1.35627195,2.495103854,0.001663933,0,27
SFU01,stretch,submax35,before,3.578404714,59.27063636,5.936778615,0.001255763,0.21997847,0.570857003,3.578404714,0.001779366,0,28
SFU01,stretch,submax35,before,4.194332722,57.80597235,6.636495524,0.001970359,0.217853544,0.904442166,4.194332722,0.002834016,0,29
SFU01,stretch,submax35,before,5.890867152,63.45962688,8.098669043,0.00241875,0.22329924,1.08318775,5.890867152,0.003670662,0,30
SFU01,stretch,submax35,pre,1.853414275,70.4513379,5.653742746,0.004352174,0.215073195,2.023577898,1.853414275,0.001664426,0,1
SFU01,stretch,submax35,pre,2.52645213,71.9288365,3.94485689,0.00233811,0.217457339,1.075203845,2.52645213,0.0017333,0,2
SFU01,stretch,submax35,pre,1.790077552,72.41908204,2.408269627,0.001204091,0.217532915,0.553521112,1.790077552,0.001667845,0,3
SFU01,stretch,submax35,pre,1.640592857,72.62678687,2.214483436,0.002117368,0.217294588,0.974422989,1.640592857,0.002120654,0,4
SFU01,stretch,submax35,pre,1.791386096,67.8968455,4.812866435,0.003201417,0.214117794,1.495166294,1.791386096,0.001865612,0,5
SFU01,stretch,submax35,pre,2.613466307,70.72364946,3.379985998,0.002575441,0.219646603,1.17253845,2.613466307,0.003027346,0,6
SFU01,stretch,submax35,pre,1.62009851,71.58952118,1.697260924,0.000899998,0.22011335,0.408879556,1.62009851,0.001156927,0,7
SFU01,stretch,submax35,pre,2.388627056,66.62408802,3.2440798,0.001650093,0.214714133,0.768506852,2.388627056,0.001217963,0,8
SFU01,stretch,submax35,pre,3.405384641,73.45348892,5.543641952,0.002748752,0.215641589,1.274685322,3.405384641,0.001900971,0,9
SFU01,stretch,submax35,pre,1.92502458,76.04530526,3.663943019,0.002020895,0.221283435,0.913260903,1.92502458,0.001356814,0,10
SFU01,stretch,submax35,pre,2.942133851,70.48933863,5.062942851,0.001372339,0.219943225,0.623951251,2.942133851,0.001098787,0,11
SFU01,stretch,submax35,pre,2.797865091,72.61658258,5.473808786,0.004135401,0.218844962,1.889648929,2.797865091,0.002196003,0,12
SFU01,stretch,submax35,pre,4.002528891,66.70151622,3.459744306,0.002668351,0.216182156,1.234306978,4.002528891,0.002748544,0,13
SFU01,stretch,submax35,pre,2.498445728,71.88179313,5.271865998,0.002730102,0.215006138,1.26977849,2.498445728,0.001139787,0,14
SFU01,stretch,submax35,pre,2.1443583,70.88756808,5.537900333,0.00249695,0.216532557,1.153152182,2.1443583,0.001295375,0,15
SFU01,stretch,submax35,pre,1.567318153,70.12329731,5.788537004,0.002201446,0.220685763,0.997547656,1.567318153,0.000887066,0,16
SFU01,stretch,submax35,pre,2.536811334,70.47867918,4.772575007,0.002785613,0.218903347,1.2725308,2.536811334,0.001721487,0,17
SFU01,stretch,submax35,pre,2.022392255,69.69098565,5.856588638,0.001585148,0.216444695,0.732356919,2.022392255,0.001093854,0,18
SFU01,stretch,submax35,pre,2.190207961,73.53696401,5.196735716,0.001143746,0.22076878,0.518074264,2.190207961,0.001112163,0,19
SFU01,stretch,submax35,pre,3.565511316,67.08209019,4.277101154,0.002086351,0.216176705,0.965113855,3.565511316,0.001917117,0,20
SFU01,stretch,submax35,pre,2.29736888,73.63621967,3.556270401,0.001870897,0.219260744,0.853275099,2.29736888,0.00114906,0,21
SFU01,stretch,submax35,pre,3.434778332,70.03694519,5.039050858,0.001296347,0.218040767,0.594543356,3.434778332,0.001690047,0,22
SFU01,stretch,submax35,pre,3.851081057,68.88557459,3.308693387,0.000949728,0.217190273,0.437279431,3.851081057,0.00173572,0,23
SFU01,stretch,submax35,pre,2.922965399,68.14558491,6.726620728,0.002658662,0.216608774,1.22740279,2.922965399,0.0020095,0,24
SFU01,stretch,submax35,pre,2.320662244,68.14100379,6.052697158,0.002878179,0.219693539,1.310088163,2.320662244,0.00124243,0,25
SFU01,stretch,submax35,pre,2.500135759,67.26784811,3.517719428,0.003629209,0.218630047,1.659977041,2.500135759,0.003150199,0,26
SFU01,stretch,submax35,pre,1.742157805,68.81265427,3.044217815,0.001551361,0.212393121,0.730419442,1.742157805,0.002208805,0,27
SFU01,stretch,submax35,pre,1.335540803,70.37767918,1.852507311,0.001269818,0.216189733,0.587362571,1.335540803,0.001116609,0,28
SFU01,stretch,submax35,pre,3.284486278,67.35057251,6.608294149,0.001735834,0.216762829,0.800798901,3.284486278,0.001094492,0,29
SFU01,stretch,submax35,pre,2.608686738,65.57075916,3.892366053,0.001115607,0.211740239,0.526875166,2.608686738,0.00186106,0,30
SFU01,stretch,submax35,post,3.487433428,72.81744878,5.565230482,0.002466363,0.214865325,1.147864527,3.487433428,0.001882329,0,1
SFU01,stretch,submax35,post,2.348959889,72.40364767,3.344481985,0.001310703,0.216209738,0.606218495,2.348959889,0.001516795,0,2
SFU01,stretch,submax35,post,2.33990845,73.33101411,4.163072128,0.003124919,0.215793925,1.448103117,2.33990845,0.001330742,0,3
SFU01,stretch,submax35,post,3.409222957,75.71527801,5.87614731,0.005869825,0.216676964,2.709021231,3.409222957,0.002137832,0,4
SFU01,stretch,submax35,post,3.099881821,71.92281864,3.672594858,0.001915474,0.219576834,0.872347878,3.099881821,0.002300679,0,5
SFU01,stretch,submax35,post,1.807351197,69.84666222,2.044930343,0.002166687,0.213620397,1.014269642,1.807351197,0.001290167,0,6
SFU01,stretch,submax35,post,1.497016809,73.07661017,3.925217478,0.004268557,0.217801471,1.959838305,1.497016809,0.000831612,0,7
SFU01,stretch,submax35,post,3.295394718,75.32965451,3.701409529,0.001623782,0.223175348,0.727581419,3.295394718,0.002682582,0,8
SFU01,stretch,submax35,post,2.528472498,70.54121177,3.132151886,0.002685299,0.220194187,1.219514027,2.528472498,0.002040195,0,9
SFU01,stretch,submax35,post,3.961961167,68.11932541,6.599965641,0.006138399,0.216873713,2.830402283,3.961961167,0.004171274,0,10
SFU01,stretch,submax35,post,1.763363862,68.48959276,0.672131539,0.000764834,0.212954187,0.359154402,1.763363862,0.001495646,0,11
SFU01,stretch,submax35,post,3.22621165,73.79031653,4.998494982,0.003185223,0.218913113,1.455016829,3.22621165,0.002272486,0,12
SFU01,stretch,submax35,post,3.270222107,71.72904354,3.775295486,0.001652857,0.22091088,0.748200721,3.270222107,0.002024281,0,13
SFU01,stretch,submax35,post,2.652426228,68.33512285,4.018955609,0.00159548,0.218391133,0.730560748,2.652426228,0.001375156,0,14
SFU01,stretch,submax35,post,2.199343774,72.35348701,2.371733349,0.001451051,0.222921682,0.650924287,2.199343774,0.001831771,0,15
SFU01,stretch,submax35,post,3.3170627,71.70165092,7.008895213,0.004106706,0.224081014,1.832688139,3.3170627,0.002322164,0,16
SFU01,stretch,submax35,post,2.160048504,70.96870994,3.804192218,0.001914637,0.220368699,0.86883343,2.160048504,0.001392153,0,17
SFU01,stretch,submax35,post,1.381294689,69.08510511,2.79541623,0.001377694,0.219731436,0.626990083,1.381294689,0.000665815,0,18
SFU01,stretch,submax35,post,1.152687621,67.42150633,3.232610845,0.003013319,0.216225411,1.393600771,1.152687621,0.000729517,0,19
SFU01,stretch,submax35,post,1.696100731,73.69734356,6.942682876,0.006039644,0.220159572,2.743302729,1.696100731,0.001443132,0,20
SFU01,stretch,submax35,post,1.286369821,68.01940778,2.497284786,0.001729415,0.219343777,0.788449685,1.286369821,0.001330345,0,21
SFU01,stretch,submax35,post,2.183433823,70.50449175,3.755671794,0.001606875,0.217952954,0.737257948,2.183433823,0.000607639,0,22
SFU01,stretch,submax35,post,1.609644298,71.87507644,2.320849146,0.001489028,0.220071927,0.676609622,1.609644298,0.00184564,0,23
SFU01,stretch,submax35,post,3.349954551,67.27109623,4.960136388,0.002907161,0.216310447,1.343976248,3.349954551,0.0021302,0,24
SFU01,stretch,submax35,post,1.491567147,71.98894592,2.86838953,0.001768351,0.217148123,0.814352339,1.491567147,0.001809464,0,25
