subject,day,level,time,f_sd,cst_sd,fpc_sd,f_cst_r,fpc_cst_r,f_fpc_r,w
SFU02,control,submax35,pre,0.001942414,2.380958139,0.003763026,0.793668312,0.132346208,0.089601842,1
SFU02,control,submax35,pre,0.001814369,2.467887251,0.009044423,0.789559857,0.865386051,0.78903764,2
SFU02,control,submax35,pre,0.001380893,2.550074206,0.009359033,0.348305885,0.756978671,0.752137661,3
SFU02,control,submax35,pre,0.001197765,3.202325501,0.009640967,0.7231459,0.867501374,0.787841459,4
SFU02,control,submax35,pre,0.001164793,3.151984883,0.009366292,0.667008226,0.803485761,0.74788208,5
SFU02,control,submax35,pre,0.000835364,2.435144827,0.009602353,0.669760901,0.939209637,0.769614303,6
SFU02,control,submax35,post,0.00133711,2.880015346,0.007992543,0.840846746,0.916431618,0.739649096,1
SFU02,control,submax35,post,0.001394874,3.615796878,0.009830274,0.902591845,0.918842899,0.849683812,2
SFU02,control,submax35,post,0.001053248,2.950393434,0.009841372,0.778511373,0.808954694,0.887561975,3
SFU02,control,submax35,post,0.000785647,2.410770082,0.009805157,0.800348183,0.943095457,0.806096969,4
SFU02,control,submax35,post,0.000938521,1.919256742,0.009680496,0.728720684,0.887373134,0.746552933,5
SFU02,control,submax35,post,0.000653665,1.893770814,0.009517067,0.862076013,0.932330342,0.825891187,6
SFU03,stretch,submax10,before,0.00064339,0.942200516,0.006548221,0.554613176,0.487389999,-0.053201557,1
SFU03,stretch,submax10,before,0.000368187,0.426376732,0.001613101,0.516833828,0.362698512,0.297514791,2
SFU03,stretch,submax10,before,0.000412262,0.4580474,0.007042639,0.624175168,0.594311406,0.153590415,3
SFU03,stretch,submax10,before,0.000385434,0.441195517,0.005661438,0.471920088,0.286054102,-0.132248772,4
SFU03,stretch,submax10,before,0.000387567,0.640312015,0.005606276,0.730042187,0.68670005,0.567676902,5
SFU03,stretch,submax10,before,0.000332461,0.510340212,0.005265191,0.458049332,0.822743929,0.424058568,6
SFU03,stretch,submax10,pre,0.00090254,1.115521725,0.008270601,0.413994492,0.773444132,0.204167681,1
SFU03,stretch,submax10,pre,0.000554298,1.452675214,0.007303151,0.63236108,0.443418748,0.651460994,2
SFU03,stretch,submax10,pre,0.000471408,1.152695384,0.003444859,0.582101529,0.698146161,0.303035601,3
SFU03,stretch,submax10,pre,0.000421161,1.03409395,0.005027664,0.36339999,0.758077971,0.252600404,4
SFU03,stretch,submax10,pre,0.000417622,1.058343311,0.00511356,0.540028271,0.773519664,0.425775376,5
SFU03,stretch,submax10,pre,0.000559158,1.573749071,0.003982494,0.684724009,0.875606998,0.529815987,6
SFU03,stretch,submax10,post,0.00030948,1.828504244,0.002922075,0.707607633,0.66742442,0.448634887,1
SFU03,stretch,submax10,post,0.000336103,0.989146774,0.005566013,0.666618281,0.361584195,0.049676884,2
SFU03,stretch,submax10,post,0.000333946,1.490682397,0.004488517,0.617621721,0.691265537,0.216474776,3
SFU03,stretch,submax10,post,0.00028156,1.281616845,0.008495174,0.598425545,0.748659488,0.574353237,4
SFU03,stretch,submax10,post,0.000251761,0.798738779,0.004485175,0.548707694,0.465834122,0.184346082,5
SFU03,stretch,submax10,post,0.000249902,1.093466596,0.007392599,0.348178533,0.742520713,-0.061268478,6
SFU03,stretch,submax35,before,0.001535538,1.140663003,0.004425159,0.863594526,0.059407794,0.265112702,1
SFU03,stretch,submax35,before,0.001285213,0.890010287,0.007903856,0.786021664,0.667340079,0.429205308,2
SFU03,stretch,submax35,before,0.001953389,1.031513499,0.004603211,0.777939888,0.570454184,0.488148467,3
SFU03,stretch,submax35,before,0.001584091,0.899582668,0.006717825,0.735036535,0.589231804,0.41649809,4
SFU03,stretch,submax35,before,0.002081914,0.986117415,0.005878166,0.872107265,0.437077065,0.378917152,5
SFU03,stretch,submax35,before,0.001977443,0.933349737,0.006717363,0.805429956,0.644409872,0.458733963,6
SFU03,stretch,submax35,pre,0.001381945,0.834997424,0.007213408,0.616376702,0.275173751,0.448016338,1
SFU03,stretch,submax35,pre,0.001996393,0.6569988,0.007639668,0.736934106,0.532458223,0.354876979,2
SFU03,stretch,submax35,pre,0.002561335,0.768106223,0.005829126,0.656840485,0.433717724,0.272518137,3
SFU03,stretch,submax35,pre,0.002271857,0.555428816,0.008352793,0.4784014,0.500431607,0.085963438,4
SFU03,stretch,submax35,pre,0.001728819,0.597373609,0.007629847,0.585327027,0.165863617,0.159367208,5
SFU03,stretch,submax35,pre,0.001650677,0.641332994,0.007775377,0.636997665,0.193971878,0.146677704,6
SFU03,stretch,submax35,post,0.001429734,0.645208924,0.006888044,0.376561299,0.282173125,0.004878983,1
SFU03,stretch,submax35,post,0.00100268,0.621445272,0.005606359,0.557048415,0.413060085,0.472846005,2
SFU03,stretch,submax35,post,0.001925447,0.611136,0.002524583,0.487679839,0.278366067,0.412932574,3
SFU03,stretch,submax35,post,0.001506165,0.669769082,0.00499061,0.537905989,0.548143587,0.138547525,4
SFU03,stretch,submax35,post,0.001663823,0.86687325,0.007240031,0.589444512,0.509581009,0.321483596,5
SFU03,stretch,submax35,post,0.001624747,0.990546325,0.008288401,0.415435573,0.706089103,-0.002340973,6
SFU03,control,submax10,before,0.000665101,1.205528291,0.007048225,0.804296297,0.654143615,0.628292115,1
SFU03,control,submax10,before,0.000356677,0.931620091,0.006147505,0.342973471,0.592290981,0.58328079,2
SFU03,control,submax10,before,0.000337035,0.76280992,0.006657046,0.291420518,0.4208844,0.450275785,3
SFU03,control,submax10,before,0.000307737,0.882777306,0.003343552,0.378907836,0.738575196,0.460480246,4
SFU03,control,submax10,before,0.000268678,0.796498228,0.004938485,0.378017357,0.644619249,0.350367564,5
